"Threshold","Variables","TrainingDataSize","avgProfit","avgHitRate"
"Max","MFTAGt , MFTHGm , OddO2.5","Low",-335.666666666667,0.487870422653031
"Max","MFTAGt , MFTHGm , OddO2.5","Max",71.3333333333333,0.597222222222222
"Max","MFTAGt , MFTHGm , OddO2.5","Med",224.333333333333,0.530979668479668
"Max","MFTAGt , MFTHGm , OddO2.5","Min",-800.333333333333,0.49459596929355
"Max","MFTAGt , MFTHGt","Low",-487.333333333333,0.447441809398331
"Max","MFTAGt , MFTHGt","Max",3.33333333333333,NA
"Max","MFTAGt , MFTHGt","Med",120.666666666667,0.506074481074481
"Max","MFTAGt , MFTHGt","Min",-1013.66666666667,0.397756117206548
"Max","MFTAGt , MFTHGt , MFTAGm","Low",-387.333333333333,0.482070707070707
"Max","MFTAGt , MFTHGt , MFTAGm","Max",-31.3333333333333,NA
"Max","MFTAGt , MFTHGt , MFTAGm","Med",53.0000000000001,NA
"Max","MFTAGt , MFTHGt , MFTAGm","Min",-641.666666666667,0.548887235449735
"Max","MFTAGt , MFTHGt , MFTAGm , MFTHGm","Low",-305,0.467437313089487
"Max","MFTAGt , MFTHGt , MFTAGm , MFTHGm","Max",91,0.763888888888889
"Max","MFTAGt , MFTHGt , MFTAGm , MFTHGm","Med",163.666666666667,0.759920634920635
"Max","MFTAGt , MFTHGt , MFTAGm , MFTHGm","Min",-706.333333333333,0.54270229173455
"Max","MFTAGt , MFTHGt , MFTAGm , MFTHGm , OddO2.5","Low",-260.333333333333,0.519921785139176
"Max","MFTAGt , MFTHGt , MFTAGm , MFTHGm , OddO2.5","Max",53,0.699074074074074
"Max","MFTAGt , MFTHGt , MFTAGm , MFTHGm , OddO2.5","Med",229.666666666667,0.567948717948718
"Max","MFTAGt , MFTHGt , MFTAGm , MFTHGm , OddO2.5","Min",-735.333333333333,0.513883846141911
"Max","MFTAGt , MFTHGt , MFTAGm , OddO2.5","Low",-460,0.450050505050505
"Max","MFTAGt , MFTHGt , MFTAGm , OddO2.5","Max",148.333333333333,0.722222222222222
"Max","MFTAGt , MFTHGt , MFTAGm , OddO2.5","Med",-27.6666666666667,0.446481481481481
"Max","MFTAGt , MFTHGt , MFTAGm , OddO2.5","Min",-1063.33333333333,0.451078042328042
"Max","MFTAGt , MFTHGt , MFTHGm","Low",-124.666666666667,0.395553359683794
"Max","MFTAGt , MFTHGt , MFTHGm","Max",30,NA
"Max","MFTAGt , MFTHGt , MFTHGm","Med",432.666666666667,NA
